FileName1	Frequency	Frequency10	Runtime_s	Procs_Var_Flag	Iters_Var_Flag	RelativeEXECTIME	FileName2	Frequency20	Total_Power	FileName3	Frequency30	FreqParam0	TotalPowerParam0	IAPowerParam0	DRAMPowerParam0	FreqParam1	TotalPowerParam1	IAPowerParam1	DRAMPowerParam1	FileName4	pintops	pmemops	ploads	pstores	pfpops	pbranchops	l1hr	l2hr	l3hr	l1m	l2m	l3m	l1mpi	l2mpi	l3mpi	idu	fdu	idu2	fdu2	mdu2	fprat	bytespermop	pvec512	pvec256	pvec128	spatial	spat0	spat2	spat4	spat8	spat16	spat32	spat64	spat128	spatOther
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	1.3	1300000	5.619651425	0	0	2.057357891	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	1300000	161.175	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	1300000	1269.29412	30.70821	15.56316	10.87628	1286	30.51598	15.27967	9.98135	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	31.25	56.25	37.5	18.75	18.75	6.25	80.20695993	15.78820728	66.57318837	6784174944	5713075328	1909698928	0.1113358503	0.09375791528	0.03134028172	2.4375	0.1875	39	5.333333333	3.111111111	0.3333333333	8	0	0	0	2.39	0	0	0	2.29E+10	3.81E+09	7.62E+09	240208	0	480016
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	1.4	1400000	5.221217038	0	0	1.911490813	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	1400000	182.7	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	1400000	1333.5	32.249	17.05361	11.11647	1362.5	32.02103	16.7409	10.06218	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	31.25	56.25	37.5	18.75	18.75	6.25	80.20695993	15.78820728	66.57318837	6784174944	5713075328	1909698928	0.1113358503	0.09375791528	0.03134028172	2.4375	0.1875	39	5.333333333	3.111111111	0.3333333333	8	0	0	0	2.39	0	0	0	2.29E+10	3.81E+09	7.62E+09	240208	0	480016
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	1.7	1700000	4.30977535	0	0	1.577811443	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	1700000	171.8142857	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	1700000	1523.5	36.28091	20.94979	11.60303	1595.07143	36.11177	20.69934	10.26621	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	31.25	56.25	37.5	18.75	18.75	6.25	80.20695993	15.78820728	66.57318837	6784174944	5713075328	1909698928	0.1113358503	0.09375791528	0.03134028172	2.4375	0.1875	39	5.333333333	3.111111111	0.3333333333	8	0	0	0	2.39	0	0	0	2.29E+10	3.81E+09	7.62E+09	240208	0	480016
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	2.6	2600000	2.9313234	0	0	1.073159325	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	2600000	198.7666667	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	2600000	2118.66667	47.88013	32.39202	11.60179	2264.58333	47.89974	32.32776	10.19958	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	31.25	56.25	37.5	18.75	18.75	6.25	80.20695993	15.78820728	66.57318837	6784174944	5713075328	1909698928	0.1113358503	0.09375791528	0.03134028172	2.4375	0.1875	39	5.333333333	3.111111111	0.3333333333	8	0	0	0	2.39	0	0	0	2.29E+10	3.81E+09	7.62E+09	240208	0	480016
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	2.9	2900000	2.731489475	0	0	1	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	2900000	221.54	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	2900000	2252.54545	55.14081	39.52399	11.82732	2436.36364	55.35865	39.68466	10.71644	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_4	31.25	56.25	37.5	18.75	18.75	6.25	80.20695993	15.78820728	66.57318837	6784174944	5713075328	1909698928	0.1113358503	0.09375791528	0.03134028172	2.4375	0.1875	39	5.333333333	3.111111111	0.3333333333	8	0	0	0	2.39	0	0	0	2.29E+10	3.81E+09	7.62E+09	240208	0	480016
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	1.8	1800000	4.072512138	0	0	1.480176989	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	1800000	170.2285714	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	1800000	1593.64286	35.985	20.65394	11.47432	1674.07143	35.89861	20.46824	10.5187	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	31.25	56.25	37.5	18.75	18.75	6.25	87.45587001	11.41804752	49.8969588	4299570560	3808643536	1908246240	0.07056073116	0.06250407311	0.0313164415	2.4375	0.1875	39	5.333333333	3.111111111	0.3333333333	8	0	0	0	2.39	3.81E+09	0	0	2.29E+10	7.62E+09	1.24E+05	0	0	247792
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2.3	2300000	3.245890463	0	0	1.179736784	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2300000	189.6666667	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2300000	1875.83333	43.53586	28.03628	11.87408	2030.66667	43.3078	27.7392	10.80179	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	31.25	56.25	37.5	18.75	18.75	6.25	87.45587001	11.41804752	49.8969588	4299570560	3808643536	1908246240	0.07056073116	0.06250407311	0.0313164415	2.4375	0.1875	39	5.333333333	3.111111111	0.3333333333	8	0	0	0	2.39	3.81E+09	0	0	2.29E+10	7.62E+09	1.24E+05	0	0	247792
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2.6	2600000	2.940400663	0	0	1.068704832	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2600000	196.2833333	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2600000	2133.16667	47.08987	31.57907	11.65968	2330.16667	46.66997	31.09703	10.40688	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	31.25	56.25	37.5	18.75	18.75	6.25	87.45587001	11.41804752	49.8969588	4299570560	3808643536	1908246240	0.07056073116	0.06250407311	0.0313164415	2.4375	0.1875	39	5.333333333	3.111111111	0.3333333333	8	0	0	0	2.39	3.81E+09	0	0	2.29E+10	7.62E+09	1.24E+05	0	0	247792
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2.7	2700000	2.867552413	0	0	1.042227734	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2700000	200.1166667	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2700000	2137.25	48.34787	32.85087	11.54929	2332.75	48.53972	32.98271	10.45026	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	31.25	56.25	37.5	18.75	18.75	6.25	87.45587001	11.41804752	49.8969588	4299570560	3808643536	1908246240	0.07056073116	0.06250407311	0.0313164415	2.4375	0.1875	39	5.333333333	3.111111111	0.3333333333	8	0	0	0	2.39	3.81E+09	0	0	2.29E+10	7.62E+09	124096	0	0	247792
 StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2.9	2900000	2.751368363	0	0	1	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2900000	223.8	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	2900000	2281.54545	53.55815	37.96738	11.96187	2600.45455	53.96698	38.34437	10.79461	StrideBenchmarks_Iters_227_Vars_1_DS_d_Alloc_d_Dims_1_Size_1048576_Random_0_Streams_3_Ops_DDD_Stride_1_1_2	31.25	56.25	37.5	18.75	18.75	6.25	87.45587001	11.41804752	49.8969588	4299570560	3808643536	1908246240	0.07056073116	0.06250407311	0.0313164415	2.4375	0.1875	39	5.333333333	3.111111111	0.3333333333	8	0	0	0	2.39	3.81E+09	0	0	2.29E+10	7.62E+09	124096	0	0	247792
